ite_id;ite_name
1409                                              ;MOTORES ALUMINIO-HIERRO                                                                             
1001M                                             ;CHATARRA MÁQUINA                                                                                    
1202                                              ;HORNO                                                                                               
1419                                              ;ALUMINIO PAPEL                                                                                      
1404                                              ;ALUMINIO CACHARRO                                                                                   
1903                                              ;TRANSFORMADORES                                                                                     
1100                                              ;APROVECHABLES VARIOS                                                                                
1706                                              ;LINGOTE DE ZAMAK                                                                                    
1020                                              ;BOTES RECICLADOS                                                                                    
9006                                              ;GASTOS AJUSTE DUA IMPORTACION                                                                       
1026                                              ;ESCORIAS FÉRRICAS NO TRATADAS                                                                       
1900                                              ;METALES SUCIOS Y SOBRANTES                                                                          
1001G                                             ;CHATARRA LARGA                                                                                      
1403LL                                            ;ALUMINIO LLANTAS                                                                                    
1311                                              ;COBRE SUBTERRÁNEO                                                                                   
1704                                              ;VIRUTA DE ZAMAK                                                                                     
1402P                                             ;ALUMINIO RECORTE CON PLÁSTICO                                                                       
1103                                              ;REDONDOS                                                                                            
1306                                              ;COBRE HILO                                                                                          
1000                                              ;CHATARRA CORTA                                                                                      
1005                                              ;CHATARRA ESTAMPACION                                                                                
1203                                              ;LAVAVAJILLAS                                                                                        
1014                                              ;CHATARRA CIZALLADA                                                                                  
1407                                              ;ALUMINIO-COBRE RADIADOR                                                                             
1907                                              ;MOTORES ELÉCTRICOS GRANDES                                                                          
1013                                              ;CHAPAJO CIZALLADO                                                                                   
1500S                                             ;LATÓN-METAL SUCIO                                                                                   
1003                                              ;CHATARRA INDUSTRIAL                                                                                 
1501                                              ;VIRUTA LATON BARRA                                                                                  
1804                                              ;LATIGUILLOS INOXIDABLE                                                                              
1021                                              ;LINEA BLANCA                                                                                        
1412                                              ;ALUMINIO PERFIL USADO                                                                               
1310                                              ;COBRE BAJO GOMA                                                                                     
1010                                              ;CHATARRA 2ª                                                                                         
1421                                              ;ALUMINIO MOLDES                                                                                     
1200                                              ;GRANDES APARATOS                                                                                    
1423                                              ;ALUMINIO COLORIN                                                                                    
1400A                                             ;ALUMINIO PERFIL NUEVO ANODIZADO                                                                     
1908                                              ;MOTORES ELÉCTRICOS BRICOLAJE                                                                        
1304C                                             ;COBRE ESTAÑADO CALDERÍN                                                                             
1004                                              ;CHATARRA OXICORTE                                                                                   
1600                                              ;BATERIAS                                                                                            
1107                                              ;DEPOSITOS                                                                                           
