itc_id;itc_description;fecha_registro
10;CHATARRAS FERRICAS                                                                                  ;2024/04/05 11:00:53.475000000
11;APROVECHABLES                                                                                       ;2024/04/05 11:00:53.475000000
13;COBRE                                                                                               ;2024/04/05 11:00:53.475000000
14;ALUMINIOS                                                                                           ;2024/04/05 11:00:53.475000000
15;LATONES                                                                                             ;2024/04/05 11:00:53.475000000
16;PLOMO Y BATERIAS                                                                                    ;2024/04/05 11:00:53.475000000
17;CINC Y CALAMINA                                                                                     ;2024/04/05 11:00:53.475000000
92;PRODUCCIÓN                                                                                          ;2024/04/05 11:00:53.475000000
91;Descuento Pronto Pago                                                                               ;2024/04/05 11:00:53.475000000
93;GASTOS                                                                                              ;2024/04/05 11:00:53.475000000
90;VARIOS                                                                                              ;2024/04/05 11:00:53.475000000
19;MAQUINARIA Y METALES SUCIOS                                                                         ;2024/04/05 11:00:53.475000000
18;ACEROS INOXIDABLES                                                                                  ;2024/04/05 11:00:53.475000000
12;RAEE                                                                                                ;2024/04/05 11:00:53.475000000
